team,end,end_shot,player,task,turn,points,chance_perfect,chance_zero,expected_points,pre_WP,WP
United States of America,1,1,John Landsteiner,Draw,CCW,4,0.833214,0.0315287,3.70019,0.3773,0.3793
Sweden,1,2,Christoffer Sundgren,Take-out,CCW,2,0.829466,0.0398453,3.64005,0.3793,0.3887
United States of America,1,3,John Landsteiner,Draw,CCW,4,0.71212,0.0647889,3.55145,0.3887,0.3924
Sweden,1,4,Christoffer Sundgren,Take-out,CCW,4,0.775825,0.0619786,3.45083,0.3924,0.3868
United States of America,1,5,Matt Hamilton,Take-out,CCW,4,0.813692,0.0300393,3.56873,0.3868,0.3885
Sweden,1,6,Rasmus Wranå,Take-out,CCW,4,0.813622,0.025341,3.46468,0.3885,0.3884
United States of America,1,7,Matt Hamilton,Take-out,CCW,4,0.818075,0.0214646,3.62293,0.3884,0.3886
Sweden,1,8,Rasmus Wranå,Take-out,CCW,4,0.781163,0.0230169,3.54876,0.3886,0.3862
United States of America,1,9,Tyler George,Take-out,CCW,2,0.776275,0.0188988,3.59322,0.3862,0.3806
Sweden,1,10,Oskar Eriksson,Draw,CW,4,0.78015,0.0769993,3.52921,0.3806,0.3751
United States of America,1,11,Tyler George,Take-out,CCW,4,0.810796,0.0298246,3.57306,0.3751,0.3807
Sweden,1,12,Oskar Eriksson,Take-out,CCW,4,0.804345,0.0132494,3.57413,0.3807,0.3798
United States of America,1,13,John Shuster,Take-out,CCW,4,0.809827,0.0138738,3.5899,0.3798,0.3848
Sweden,1,14,Niklas Edin,Take-out,CCW,4,0.832211,0.0132686,3.64315,0.3848,0.3817
United States of America,1,15,John Shuster,Take-out,CCW,4,0.847133,0.0134123,3.69739,0.3817,0.3859
Sweden,1,16,Niklas Edin,Clearing,CCW,4,0.897506,0.0214685,3.78366,0.3859,0.3759
United States of America,2,1,John Landsteiner,Front,CW,4,0.83524,0.0457942,3.66518,0.3927,0.3947
Sweden,2,2,Christoffer Sundgren,Front,CCW,4,0.748643,0.067233,3.69061,0.3947,0.3884
United States of America,2,3,John Landsteiner,Draw,CCW,3,0.630136,0.0664884,3.41216,0.3884,0.3858
Sweden,2,4,Christoffer Sundgren,Raise,CW,4,0.544949,0.111615,2.97608,0.3858,0.3815
United States of America,2,5,Matt Hamilton,Take-out,CW,4,0.701273,0.128365,3.13751,0.3815,0.3867
Sweden,2,6,Rasmus Wranå,Double,CW,4,0.54276,0.0463428,2.97615,0.3867,0.3839
United States of America,2,7,Matt Hamilton,Take-out,CCW,4,0.749045,0.0767318,3.47718,0.3839,0.3834
Sweden,2,8,Rasmus Wranå,Take-out,CW,4,0.763006,0.0738618,3.48392,0.3834,0.3782
United States of America,2,9,Tyler George,Hit-roll,CCW,4,0.449786,0.0574529,3.22097,0.3782,0.3885
Sweden,2,10,Oskar Eriksson,Hit-roll,CW,4,0.465602,0.0688192,3.16681,0.3885,0.3827
United States of America,2,11,Tyler George,Hit-roll,CCW,4,0.45965,0.0672533,3.18465,0.3827,0.3947
Sweden,2,12,Oskar Eriksson,Take-out,CCW,4,0.753134,0.0840125,3.33384,0.3947,0.3753
United States of America,2,13,John Shuster,Take-out,CW,4,0.789583,0.0504988,3.51909,0.3753,0.3867
Sweden,2,14,Niklas Edin,Draw,CCW,4,0.493519,0.0811419,3.0873,0.3867,0.3636
United States of America,2,15,John Shuster,Promotion,CCW,0,0.502073,0.14539,2.61768,0.3636,0.2782
Sweden,2,16,Niklas Edin,Draw,CCW,4,0.8736,0.0747468,3.62959,0.2782,0.2436
Sweden,3,1,Christoffer Sundgren,Draw,CCW,4,0.833214,0.0315287,3.70019,0.2612,0.2593
United States of America,3,2,John Landsteiner,Front,CW,4,0.874014,0.0488878,3.75056,0.2593,0.2622
