ends_left,hammer,margin,win_probability,gender,team1,team2
1,0,-6,0,men,1-25,1-25
1,0,-5,0,men,1-25,1-25
1,0,-4,0,men,1-25,1-25
1,0,-3,0,men,1-25,1-25
1,0,-2,0,men,1-25,1-25
1,0,-1,1.2,men,1-25,1-25
1,0,0,11.2,men,1-25,1-25
1,0,1,61.1,men,1-25,1-25
1,0,2,89.9,men,1-25,1-25
1,0,3,99.9,men,1-25,1-25
1,0,4,100,men,1-25,1-25
1,0,5,100,men,1-25,1-25
1,0,6,100,men,1-25,1-25
1,1,-6,0,men,1-25,1-25
1,1,-5,0,men,1-25,1-25
1,1,-4,0,men,1-25,1-25
1,1,-3,0.1,men,1-25,1-25
1,1,-2,10.1,men,1-25,1-25
1,1,-1,38.9,men,1-25,1-25
1,1,0,88.8,men,1-25,1-25
1,1,1,98.8,men,1-25,1-25
1,1,2,100,men,1-25,1-25
1,1,3,100,men,1-25,1-25
1,1,4,100,men,1-25,1-25
1,1,5,100,men,1-25,1-25
1,1,6,100,men,1-25,1-25
2,0,-6,0,men,1-25,1-25
2,0,-5,0,men,1-25,1-25
2,0,-4,0,men,1-25,1-25
2,0,-3,0.1,men,1-25,1-25
2,0,-2,0.6,men,1-25,1-25
2,0,-1,4.5,men,1-25,1-25
2,0,0,27.8,men,1-25,1-25
2,0,1,66.1,men,1-25,1-25
2,0,2,91.8,men,1-25,1-25
2,0,3,98.3,men,1-25,1-25
2,0,4,100,men,1-25,1-25
2,0,5,100,men,1-25,1-25
2,0,6,100,men,1-25,1-25
2,1,-6,0,men,1-25,1-25
2,1,-5,0,men,1-25,1-25
2,1,-4,0,men,1-25,1-25
2,1,-3,1.7,men,1-25,1-25
2,1,-2,8.2,men,1-25,1-25
2,1,-1,33.9,men,1-25,1-25
2,1,0,72.2,men,1-25,1-25
2,1,1,95.5,men,1-25,1-25
2,1,2,99.4,men,1-25,1-25
2,1,3,99.9,men,1-25,1-25
2,1,4,100,men,1-25,1-25
2,1,5,100,men,1-25,1-25
2,1,6,100,men,1-25,1-25
3,0,-6,0,men,1-25,1-25
3,0,-5,0,men,1-25,1-25
3,0,-4,0,men,1-25,1-25
3,0,-3,0,men,1-25,1-25
3,0,-2,1.9,men,1-25,1-25
3,0,-1,7.1,men,1-25,1-25
3,0,0,29.5,men,1-25,1-25
3,0,1,61.8,men,1-25,1-25
3,0,2,84,men,1-25,1-25
3,0,3,97.5,men,1-25,1-25
3,0,4,99.4,men,1-25,1-25
3,0,5,99.9,men,1-25,1-25
3,0,6,100,men,1-25,1-25
3,1,-6,0,men,1-25,1-25
3,1,-5,0.1,men,1-25,1-25
3,1,-4,0.6,men,1-25,1-25
3,1,-3,2.5,men,1-25,1-25
3,1,-2,16,men,1-25,1-25
3,1,-1,38.2,men,1-25,1-25
3,1,0,70.5,men,1-25,1-25
3,1,1,92.9,men,1-25,1-25
3,1,2,98.1,men,1-25,1-25
3,1,3,100,men,1-25,1-25
3,1,4,100,men,1-25,1-25
3,1,5,100,men,1-25,1-25
3,1,6,100,men,1-25,1-25
4,0,-6,0,men,1-25,1-25
4,0,-5,0,men,1-25,1-25
4,0,-4,0,men,1-25,1-25
4,0,-3,0.6,men,1-25,1-25
4,0,-2,2.7,men,1-25,1-25
4,0,-1,9.7,men,1-25,1-25
4,0,0,32.2,men,1-25,1-25
4,0,1,60,men,1-25,1-25
4,0,2,82.6,men,1-25,1-25
4,0,3,96.3,men,1-25,1-25
4,0,4,99,men,1-25,1-25
4,0,5,99.9,men,1-25,1-25
4,0,6,100,men,1-25,1-25
4,1,-6,0,men,1-25,1-25
4,1,-5,0.1,men,1-25,1-25
4,1,-4,1,men,1-25,1-25
4,1,-3,3.7,men,1-25,1-25
4,1,-2,17.4,men,1-25,1-25
4,1,-1,40,men,1-25,1-25
4,1,0,67.8,men,1-25,1-25
4,1,1,90.3,men,1-25,1-25
4,1,2,97.3,men,1-25,1-25
4,1,3,99.4,men,1-25,1-25
4,1,4,100,men,1-25,1-25
4,1,5,100,men,1-25,1-25
4,1,6,100,men,1-25,1-25
5,0,-6,0,men,1-25,1-25
5,0,-5,0,men,1-25,1-25
5,0,-4,0,men,1-25,1-25
5,0,-3,1.1,men,1-25,1-25
5,0,-2,3.7,men,1-25,1-25
5,0,-1,11,men,1-25,1-25
5,0,0,33.2,men,1-25,1-25
5,0,1,58.9,men,1-25,1-25
5,0,2,80.2,men,1-25,1-25
5,0,3,94.8,men,1-25,1-25
5,0,4,98.8,men,1-25,1-25
5,0,5,99.7,men,1-25,1-25
5,0,6,100,men,1-25,1-25
5,1,-6,0,men,1-25,1-25
5,1,-5,0.3,men,1-25,1-25
5,1,-4,1.2,men,1-25,1-25
5,1,-3,5.2,men,1-25,1-25
5,1,-2,19.8,men,1-25,1-25
5,1,-1,41.1,men,1-25,1-25
5,1,0,66.8,men,1-25,1-25
5,1,1,89,men,1-25,1-25
5,1,2,96.3,men,1-25,1-25
5,1,3,98.9,men,1-25,1-25
5,1,4,100,men,1-25,1-25
5,1,5,100,men,1-25,1-25
5,1,6,100,men,1-25,1-25
6,0,-6,0,men,1-25,1-25
6,0,-5,0,men,1-25,1-25
6,0,-4,0.1,men,1-25,1-25
6,0,-3,1.5,men,1-25,1-25
6,0,-2,4.9,men,1-25,1-25
6,0,-1,13,men,1-25,1-25
6,0,0,34.8,men,1-25,1-25
6,0,1,58.9,men,1-25,1-25
6,0,2,79.5,men,1-25,1-25
6,0,3,94.1,men,1-25,1-25
6,0,4,97.8,men,1-25,1-25
6,0,5,99.6,men,1-25,1-25
6,0,6,100,men,1-25,1-25
6,1,-6,0,men,1-25,1-25
6,1,-5,0.4,men,1-25,1-25
6,1,-4,2.2,men,1-25,1-25
6,1,-3,5.9,men,1-25,1-25
6,1,-2,20.5,men,1-25,1-25
6,1,-1,41.1,men,1-25,1-25
6,1,0,65.2,men,1-25,1-25
6,1,1,87,men,1-25,1-25
6,1,2,95.1,men,1-25,1-25
6,1,3,98.5,men,1-25,1-25
6,1,4,99.9,men,1-25,1-25
6,1,5,100,men,1-25,1-25
6,1,6,100,men,1-25,1-25
7,0,-6,0,men,1-25,1-25
7,0,-5,0,men,1-25,1-25
7,0,-4,0,men,1-25,1-25
7,0,-3,1.8,men,1-25,1-25
7,0,-2,5.4,men,1-25,1-25
7,0,-1,13.9,men,1-25,1-25
7,0,0,35,men,1-25,1-25
7,0,1,58.7,men,1-25,1-25
7,0,2,78.4,men,1-25,1-25
7,0,3,92.1,men,1-25,1-25
7,0,4,97.6,men,1-25,1-25
7,0,5,98.9,men,1-25,1-25
7,0,6,100,men,1-25,1-25
7,1,-6,0,men,1-25,1-25
7,1,-5,1.1,men,1-25,1-25
7,1,-4,2.4,men,1-25,1-25
7,1,-3,7.9,men,1-25,1-25
7,1,-2,21.6,men,1-25,1-25
7,1,-1,41.3,men,1-25,1-25
7,1,0,65,men,1-25,1-25
7,1,1,86.1,men,1-25,1-25
7,1,2,94.6,men,1-25,1-25
7,1,3,98.2,men,1-25,1-25
7,1,4,100,men,1-25,1-25
7,1,5,100,men,1-25,1-25
7,1,6,100,men,1-25,1-25
8,0,-4,0.3,men,1-25,1-25
8,0,-3,2,men,1-25,1-25
8,0,-2,6.8,men,1-25,1-25
8,0,-1,15,men,1-25,1-25
8,0,0,36.4,men,1-25,1-25
8,0,1,58.1,men,1-25,1-25
8,0,2,77.5,men,1-25,1-25
8,0,3,91.7,men,1-25,1-25
8,0,4,97.3,men,1-25,1-25
8,0,5,99.2,men,1-25,1-25
8,0,6,100,men,1-25,1-25
8,1,-6,0,men,1-25,1-25
8,1,-5,0.8,men,1-25,1-25
8,1,-4,2.7,men,1-25,1-25
8,1,-3,8.3,men,1-25,1-25
8,1,-2,22.5,men,1-25,1-25
8,1,-1,41.9,men,1-25,1-25
8,1,0,63.6,men,1-25,1-25
8,1,1,85,men,1-25,1-25
8,1,2,93.2,men,1-25,1-25
8,1,3,98,men,1-25,1-25
8,1,4,99.7,men,1-25,1-25
9,0,0,36.2,men,1-25,1-25
9,0,1,57.5,men,1-25,1-25
9,0,2,76.3,men,1-25,1-25
9,0,3,91.2,men,1-25,1-25
9,0,4,96.5,men,1-25,1-25
9,0,5,99.3,men,1-25,1-25
9,1,-5,0.7,men,1-25,1-25
9,1,-4,3.5,men,1-25,1-25
9,1,-3,8.8,men,1-25,1-25
9,1,-2,23.7,men,1-25,1-25
9,1,-1,42.5,men,1-25,1-25
9,1,0,63.8,men,1-25,1-25
10,0,0,36.9,men,1-25,1-25
10,1,0,63.1,men,1-25,1-25
1,0,-6,0,men,26-100,26-100
1,0,-5,0,men,26-100,26-100
1,0,-4,0,men,26-100,26-100
1,0,-3,0,men,26-100,26-100
1,0,-2,2.4,men,26-100,26-100
1,0,-1,6.4,men,26-100,26-100
1,0,0,25.1,men,26-100,26-100
1,0,1,54.6,men,26-100,26-100
1,0,2,81.4,men,26-100,26-100
1,0,3,98.7,men,26-100,26-100
1,0,4,100,men,26-100,26-100
1,0,5,100,men,26-100,26-100
1,0,6,100,men,26-100,26-100
1,1,-6,0,men,26-100,26-100
1,1,-5,0,men,26-100,26-100
1,1,-4,0,men,26-100,26-100
1,1,-3,1.3,men,26-100,26-100
1,1,-2,18.6,men,26-100,26-100
1,1,-1,45.4,men,26-100,26-100
1,1,0,74.9,men,26-100,26-100
1,1,1,93.6,men,26-100,26-100
1,1,2,97.6,men,26-100,26-100
1,1,3,100,men,26-100,26-100
1,1,4,100,men,26-100,26-100
1,1,5,100,men,26-100,26-100
1,1,6,100,men,26-100,26-100
2,0,-6,0,men,26-100,26-100
2,0,-5,0,men,26-100,26-100
2,0,-4,0,men,26-100,26-100
2,0,-3,0.7,men,26-100,26-100
2,0,-2,2.4,men,26-100,26-100
2,0,-1,17.1,men,26-100,26-100
2,0,0,31.3,men,26-100,26-100
2,0,1,61.9,men,26-100,26-100
2,0,2,83.4,men,26-100,26-100
2,0,3,94.1,men,26-100,26-100
2,0,4,99.3,men,26-100,26-100
2,0,5,100,men,26-100,26-100
2,0,6,100,men,26-100,26-100
2,1,-6,0,men,26-100,26-100
2,1,-5,0,men,26-100,26-100
2,1,-4,0.7,men,26-100,26-100
2,1,-3,5.9,men,26-100,26-100
2,1,-2,16.6,men,26-100,26-100
2,1,-1,38.1,men,26-100,26-100
2,1,0,68.7,men,26-100,26-100
2,1,1,82.9,men,26-100,26-100
2,1,2,97.6,men,26-100,26-100
2,1,3,99.3,men,26-100,26-100
2,1,4,100,men,26-100,26-100
2,1,5,100,men,26-100,26-100
2,1,6,100,men,26-100,26-100
3,0,-6,0,men,26-100,26-100
3,0,-5,0.2,men,26-100,26-100
3,0,-4,0.2,men,26-100,26-100
3,0,-3,0.8,men,26-100,26-100
3,0,-2,5.1,men,26-100,26-100
3,0,-1,16.4,men,26-100,26-100
3,0,0,34.7,men,26-100,26-100
3,0,1,59.8,men,26-100,26-100
3,0,2,79.4,men,26-100,26-100
3,0,3,93.5,men,26-100,26-100
3,0,4,98.4,men,26-100,26-100
3,0,5,99.7,men,26-100,26-100
3,0,6,100,men,26-100,26-100
3,1,-6,0,men,26-100,26-100
3,1,-5,0.3,men,26-100,26-100
3,1,-4,1.6,men,26-100,26-100
3,1,-3,6.5,men,26-100,26-100
3,1,-2,20.6,men,26-100,26-100
3,1,-1,40.2,men,26-100,26-100
3,1,0,65.3,men,26-100,26-100
3,1,1,83.6,men,26-100,26-100
3,1,2,94.9,men,26-100,26-100
3,1,3,99.2,men,26-100,26-100
3,1,4,99.8,men,26-100,26-100
3,1,5,99.8,men,26-100,26-100
3,1,6,100,men,26-100,26-100
4,0,-6,0.2,men,26-100,26-100
4,0,-5,0,men,26-100,26-100
4,0,-4,0.4,men,26-100,26-100
4,0,-3,1.9,men,26-100,26-100
4,0,-2,5.7,men,26-100,26-100
4,0,-1,17.8,men,26-100,26-100
4,0,0,37.4,men,26-100,26-100
4,0,1,58.4,men,26-100,26-100
4,0,2,78.1,men,26-100,26-100
4,0,3,92.4,men,26-100,26-100
4,0,4,97.9,men,26-100,26-100
4,0,5,99.6,men,26-100,26-100
4,0,6,99.8,men,26-100,26-100
4,1,-6,0.2,men,26-100,26-100
4,1,-5,0.4,men,26-100,26-100
4,1,-4,2.1,men,26-100,26-100
4,1,-3,7.6,men,26-100,26-100
4,1,-2,21.9,men,26-100,26-100
4,1,-1,41.6,men,26-100,26-100
4,1,0,62.6,men,26-100,26-100
4,1,1,82.2,men,26-100,26-100
4,1,2,94.3,men,26-100,26-100
4,1,3,98.1,men,26-100,26-100
4,1,4,99.6,men,26-100,26-100
4,1,5,100,men,26-100,26-100
4,1,6,99.8,men,26-100,26-100
5,0,-6,0.3,men,26-100,26-100
5,0,-5,0.2,men,26-100,26-100
5,0,-4,0.7,men,26-100,26-100
5,0,-3,2,men,26-100,26-100
5,0,-2,7.3,men,26-100,26-100
5,0,-1,19.5,men,26-100,26-100
5,0,0,37,men,26-100,26-100
5,0,1,57.4,men,26-100,26-100
5,0,2,77.4,men,26-100,26-100
5,0,3,91.5,men,26-100,26-100
5,0,4,96.8,men,26-100,26-100
5,0,5,99.4,men,26-100,26-100
5,0,6,99.8,men,26-100,26-100
5,1,-6,0.2,men,26-100,26-100
5,1,-5,0.6,men,26-100,26-100
5,1,-4,3.2,men,26-100,26-100
5,1,-3,8.5,men,26-100,26-100
5,1,-2,22.6,men,26-100,26-100
5,1,-1,42.6,men,26-100,26-100
5,1,0,63,men,26-100,26-100
5,1,1,80.5,men,26-100,26-100
5,1,2,92.7,men,26-100,26-100
5,1,3,98,men,26-100,26-100
5,1,4,99.3,men,26-100,26-100
5,1,5,99.8,men,26-100,26-100
5,1,6,99.7,men,26-100,26-100
6,0,-6,0.4,men,26-100,26-100
6,0,-5,0.6,men,26-100,26-100
6,0,-4,0.9,men,26-100,26-100
6,0,-3,3,men,26-100,26-100
6,0,-2,8.1,men,26-100,26-100
6,0,-1,19.3,men,26-100,26-100
6,0,0,37.9,men,26-100,26-100
6,0,1,57.3,men,26-100,26-100
6,0,2,76.7,men,26-100,26-100
6,0,3,90,men,26-100,26-100
6,0,4,96.5,men,26-100,26-100
6,0,5,99.1,men,26-100,26-100
6,0,6,99.5,men,26-100,26-100
6,1,-6,0.5,men,26-100,26-100
6,1,-5,0.9,men,26-100,26-100
6,1,-4,3.5,men,26-100,26-100
6,1,-3,10,men,26-100,26-100
6,1,-2,23.3,men,26-100,26-100
6,1,-1,42.7,men,26-100,26-100
6,1,0,62.1,men,26-100,26-100
6,1,1,80.7,men,26-100,26-100
6,1,2,91.9,men,26-100,26-100
6,1,3,97,men,26-100,26-100
6,1,4,99.1,men,26-100,26-100
6,1,5,99.4,men,26-100,26-100
6,1,6,99.6,men,26-100,26-100
7,0,-6,0.5,men,26-100,26-100
7,0,-5,0.4,men,26-100,26-100
7,0,-4,1.7,men,26-100,26-100
7,0,-3,3.1,men,26-100,26-100
7,0,-2,7.8,men,26-100,26-100
7,0,-1,21.1,men,26-100,26-100
7,0,0,37.9,men,26-100,26-100
7,0,1,56.7,men,26-100,26-100
7,0,2,76.3,men,26-100,26-100
7,0,3,89.1,men,26-100,26-100
7,0,4,95.9,men,26-100,26-100
7,0,5,98.6,men,26-100,26-100
7,0,6,99.3,men,26-100,26-100
7,1,-6,0.7,men,26-100,26-100
7,1,-5,1.4,men,26-100,26-100
7,1,-4,4.1,men,26-100,26-100
7,1,-3,10.9,men,26-100,26-100
7,1,-2,23.7,men,26-100,26-100
7,1,-1,43.3,men,26-100,26-100
7,1,0,62.1,men,26-100,26-100
7,1,1,78.9,men,26-100,26-100
7,1,2,92.2,men,26-100,26-100
7,1,3,96.9,men,26-100,26-100
7,1,4,98.3,men,26-100,26-100
7,1,5,99.6,men,26-100,26-100
7,1,6,99.5,men,26-100,26-100
8,0,-5,1.3,men,26-100,26-100
8,0,-4,2.3,men,26-100,26-100
8,0,-3,3.3,men,26-100,26-100
8,0,-2,8.7,men,26-100,26-100
8,0,-1,20.8,men,26-100,26-100
8,0,0,38.5,men,26-100,26-100
8,0,1,57.2,men,26-100,26-100
8,0,2,75.4,men,26-100,26-100
8,0,3,88.6,men,26-100,26-100
8,0,4,96.5,men,26-100,26-100
8,0,5,98.4,men,26-100,26-100
8,0,6,98.9,men,26-100,26-100
8,1,-6,1.1,men,26-100,26-100
8,1,-5,1.6,men,26-100,26-100
8,1,-4,3.5,men,26-100,26-100
8,1,-3,11.4,men,26-100,26-100
8,1,-2,24.6,men,26-100,26-100
8,1,-1,42.8,men,26-100,26-100
8,1,0,61.5,men,26-100,26-100
8,1,1,79.2,men,26-100,26-100
8,1,2,91.3,men,26-100,26-100
8,1,3,96.7,men,26-100,26-100
8,1,4,97.7,men,26-100,26-100
8,1,5,98.7,men,26-100,26-100
9,0,0,38.9,men,26-100,26-100
9,0,1,57.2,men,26-100,26-100
9,0,2,75.3,men,26-100,26-100
9,0,3,88.2,men,26-100,26-100
9,0,4,95.3,men,26-100,26-100
9,0,5,98,men,26-100,26-100
9,0,6,98.6,men,26-100,26-100
9,1,-6,1.4,men,26-100,26-100
9,1,-5,2,men,26-100,26-100
9,1,-4,4.7,men,26-100,26-100
9,1,-3,11.8,men,26-100,26-100
9,1,-2,24.7,men,26-100,26-100
9,1,-1,42.8,men,26-100,26-100
9,1,0,61.1,men,26-100,26-100
10,0,0,38.8,men,26-100,26-100
10,1,0,61.2,men,26-100,26-100
1,0,-6,0,men,101-500,101-500
1,0,-5,0,men,101-500,101-500
1,0,-4,0,men,101-500,101-500
1,0,-3,0,men,101-500,101-500
1,0,-2,1.3,men,101-500,101-500
1,0,-1,11.7,men,101-500,101-500
1,0,0,28.6,men,101-500,101-500
1,0,1,63.2,men,101-500,101-500
1,0,2,85.7,men,101-500,101-500
1,0,3,96.5,men,101-500,101-500
1,0,4,99.7,men,101-500,101-500
1,0,5,100,men,101-500,101-500
1,0,6,100,men,101-500,101-500
1,1,-6,0,men,101-500,101-500
1,1,-5,0,men,101-500,101-500
1,1,-4,0.3,men,101-500,101-500
1,1,-3,3.5,men,101-500,101-500
1,1,-2,14.3,men,101-500,101-500
1,1,-1,36.8,men,101-500,101-500
1,1,0,71.4,men,101-500,101-500
1,1,1,88.3,men,101-500,101-500
1,1,2,98.7,men,101-500,101-500
1,1,3,100,men,101-500,101-500
1,1,4,100,men,101-500,101-500
1,1,5,100,men,101-500,101-500
1,1,6,100,men,101-500,101-500
2,0,-6,0,men,101-500,101-500
2,0,-5,0,men,101-500,101-500
2,0,-4,0.1,men,101-500,101-500
2,0,-3,1.2,men,101-500,101-500
2,0,-2,6.5,men,101-500,101-500
2,0,-1,14.9,men,101-500,101-500
2,0,0,39.8,men,101-500,101-500
2,0,1,62.7,men,101-500,101-500
2,0,2,82.5,men,101-500,101-500
2,0,3,94.1,men,101-500,101-500
2,0,4,97.7,men,101-500,101-500
2,0,5,100,men,101-500,101-500
2,0,6,100,men,101-500,101-500
2,1,-6,0,men,101-500,101-500
2,1,-5,0,men,101-500,101-500
2,1,-4,2.3,men,101-500,101-500
2,1,-3,5.9,men,101-500,101-500
2,1,-2,17.5,men,101-500,101-500
2,1,-1,37.3,men,101-500,101-500
2,1,0,60.2,men,101-500,101-500
2,1,1,85.1,men,101-500,101-500
2,1,2,93.5,men,101-500,101-500
2,1,3,98.8,men,101-500,101-500
2,1,4,99.9,men,101-500,101-500
2,1,5,100,men,101-500,101-500
2,1,6,100,men,101-500,101-500
3,0,-6,0,men,101-500,101-500
3,0,-5,0.1,men,101-500,101-500
3,0,-4,0.3,men,101-500,101-500
3,0,-3,3.1,men,101-500,101-500
3,0,-2,8.8,men,101-500,101-500
3,0,-1,20.3,men,101-500,101-500
3,0,0,40,men,101-500,101-500
3,0,1,59.2,men,101-500,101-500
3,0,2,78.5,men,101-500,101-500
3,0,3,91.6,men,101-500,101-500
3,0,4,96.7,men,101-500,101-500
3,0,5,99.4,men,101-500,101-500
3,0,6,99.9,men,101-500,101-500
3,1,-6,0.1,men,101-500,101-500
3,1,-5,0.6,men,101-500,101-500
3,1,-4,3.3,men,101-500,101-500
3,1,-3,8.4,men,101-500,101-500
3,1,-2,21.5,men,101-500,101-500
3,1,-1,40.8,men,101-500,101-500
3,1,0,60,men,101-500,101-500
3,1,1,79.7,men,101-500,101-500
3,1,2,91.2,men,101-500,101-500
3,1,3,96.9,men,101-500,101-500
3,1,4,99.7,men,101-500,101-500
